uuid,name,dob,sex,contact_info,job_id,num_course_taken,current_career_path_id,time_spent_hrs
1,Annabelle Avery,1943-07-03,F,"{""mailing_address"": ""303 N Timber Key, Irondale, Wisconsin, 84736"", ""email"": ""annabelle_avery9376@woohoo.com""}",7.0,6.0,1.0,4.99
2,Micah Rubio,1991-02-07,M,"{""mailing_address"": ""767 Crescent Fair, Shoals, Indiana, 37439"", ""email"": ""rubio6772@hmail.com""}",7.0,5.0,8.0,4.4
3,Hosea Dale,1989-12-07,M,"{""mailing_address"": ""P.O. Box 41269, St. Bonaventure, Virginia, 83637"", ""email"": ""hosea_dale8084@coldmail.com""}",7.0,8.0,8.0,6.74
4,Mariann Kirk,1988-07-31,F,"{""mailing_address"": ""517 SE Wintergreen Isle, Lane, Arkansas, 82242"", ""email"": ""kirk4005@hmail.com""}",6.0,7.0,9.0,12.31
5,Lucio Alexander,1963-08-31,M,"{""mailing_address"": ""18 Cinder Cliff, Doyles borough, Rhode Island, 73737"", ""email"": ""alexander9810@hmail.com""}",7.0,14.0,3.0,5.64
6,Shavonda Mcmahon,1989-10-15,F,"{""mailing_address"": ""P.O. Box 81591, Tarpon Springs, Montana, 37057"", ""email"": ""shavonda5863@coldmail.com""}",6.0,10.0,3.0,10.12
7,Terrell Bleijenberg,1959-05-05,M,"{""mailing_address"": ""P.O. Box 53471, Oskaloosa, Virginia, 85274"", ""email"": ""bleijenberg188@hmail.com""}",2.0,9.0,8.0,24.17
8,Stanford Allan,1997-11-22,M,"{""mailing_address"": ""255 Spring Avenue, Point Baker, Texas, 15796"", ""email"": ""stanford_allan8055@coldmail.com""}",3.0,3.0,1.0,19.54
9,Tricia Delacruz,1961-10-20,F,"{""mailing_address"": ""997 Dewy Apple, Lake Lindsey, Washington, 78266"", ""email"": ""tricia_delacruz6622@woohoo.com""}",1.0,6.0,9.0,1.75
10,Regenia van der Helm,1999-02-23,N,"{""mailing_address"": ""220 Middle Ridge, Falcon Heights, New Mexico, 46971"", ""email"": ""regenia6908@inlook.com""}",5.0,7.0,6.0,13.55
11,Shonda Stephanin,1998-10-24,F,"{""mailing_address"": ""818 Clear Street, Rockwood, Maine, 14372"", ""email"": ""shonda_stephanin4439@coldmail.com""}",7.0,5.0,10.0,12.61
12,Marcus Mcfarland,1977-05-29,M,"{""mailing_address"": ""718 Embers Lane, Dale, South Carolina, 19186"", ""email"": ""mcfarland1396@woohoo.com""}",7.0,3.0,6.0,9.12
